Player,APY
princetonfant,877500
jalenmorenocropper,877500
johnnyjohnsoniii,877500
michaeljacobson,877500
armanirogers,859167
peytonhendershot,858333
jalenvirgil,857500
stonesmartt,855000
brandonjohnson,853333
kavontaeturpin,853333
justynross,853333
zachdavidson,837000
travisvokolek,832500
lucaskrull,832500
masonkinsey,832500
irvincharles,832500
blakewhiteheart,832500
bomelton,832500
luckyjackson,832500
rodneywilliamsii,832500
duecewatts,795000
jontrekirklin,795000
tyreikmcallister,795000
chasecota,795000
joelwilson,795000
jacobcopeland,795000
mikeharley,795000
thomasodukoya,795000
jarayjenkins,795000
bernhardseikovits,795000
chrisblair,795000
isaiahwooden,795000
kazmeirallen,795000
jaquaejackson,795000
shaqdavis,795000
grantdubose,795000
zavierscott,795000
tayvionrobinson,795000
mattlanders,795000
daylenbaldwin,795000
jordanmurray,795000
johnsamuelshenker,795000
kevinaustinjr,795000
brycentremayne,795000
kadendavis,795000
terrellbynum,795000
kehindeoginni,795000
griffinhebert,795000
tyscott,795000
seanryan,795000
scottywashington,795000
salcannella,795000
marcussimms,795000
colefotheringham,795000
dennishouston,795000
kwamielassiterii,795000
zairemitchellpaden,795000
thayerthomas,795000
kylesheets,795000
taymartin,795000
jalenwayne,795000
kawaanbaker,795000
dylandrummond,795000
danielarias,795000
michaeltutsie,795000
hunterkampmoyer,795000
sethwilliams,795000
samsonnacua,795000
tarikblack,795000
lamichaelpettway,772500
zackkuntz,772500
