Player,Pos.,Team,Total Value,APY,Total Guaranteed,Avg. Guarantee/Year,% Guaranteed
Andrew Beck,TE,Texans,"$6,250,000","$3,125,000","$4,000,000","$2,000,000",64.00%
Rashid Shaheed,WR,Saints,"$6,185,000","$3,092,500","$1,000,000","$500,000",16.20%
Xavier Legette,WR,Panthers,"$12,357,176","$3,089,294","$12,357,176","$3,089,294",100.00%
Cordarrelle Patterson,WR,Steelers,"$6,000,000","$3,000,000","$1,900,000","$950,000",31.70%
Odell Beckham Jr.,WR,Dolphins,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",100.00%
Zach Ertz,TE,Commanders,"$3,000,000","$3,000,000","$1,960,000","$1,960,000",65.30%
D.J. Chark,WR,Chargers,"$3,000,000","$3,000,000","$2,065,000","$2,065,000",68.80%
Austin Hooper,TE,Patriots,"$3,000,000","$3,000,000","$2,410,000","$2,410,000",80.30%
Cedrick Wilson Jr.,WR,Saints,"$5,750,000","$2,875,000","$2,850,000","$1,425,000",49.60%
Mack Hollins,WR,Bills,"$2,600,000","$2,600,000","$1,100,000","$1,100,000",42.30%
Keon Coleman,WR,Bills,"$10,074,258","$2,518,565","$9,640,495","$2,410,124",95.70%
Ray-Ray McCloud,WR,Falcons,"$5,000,000","$2,500,000","$2,125,000","$1,062,500",42.50%
Mike Gesicki,TE,Bengals,"$2,500,000","$2,500,000","$400,000","$400,000",16.00%
Ladd McConkey,WR,Chargers,"$9,995,186","$2,498,797","$9,185,943","$2,296,486",91.90%
Ja'Lynn Polk,WR,Patriots,"$9,694,744","$2,423,686","$8,214,275","$2,053,569",84.70%
Tyler Boyd,WR,Titans,"$2,400,000","$2,400,000","$1,200,000","$1,200,000",50.00%
Sam LaPorta,TE,Lions,"$9,465,998","$2,366,500","$7,825,179","$1,956,295",82.70%
Michael Mayer,TE,Raiders,"$9,313,638","$2,328,410","$7,596,697","$1,899,174",81.60%
Christian Watson,WR,Packers,"$9,241,026","$2,310,257","$7,425,885","$1,856,471",80.40%
Zach Pascal,WR,Cardinals,"$4,500,000","$2,250,000","$1,500,000","$750,000",33.30%
Marquez Valdes-Scantling,WR,Bills,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",100.00%
Zay Jones,WR,Cardinals,"$2,250,000","$2,250,000","$1,150,000","$1,150,000",51.10%
Elijah Moore,WR,Browns,"$8,940,422","$2,235,106","$7,061,273","$1,765,318",79.00%
Jonathan Mingo,WR,Panthers,"$8,856,606","$2,214,152","$6,898,887","$1,724,722",77.90%
Braxton Berrios,WR,Dolphins,"$2,150,000","$2,150,000","$1,200,000","$1,200,000",55.80%
Luke Musgrave,TE,Packers,"$8,475,742","$2,118,936","$6,348,437","$1,587,109",74.90%
Wan'Dale Robinson,WR,Giants,"$8,185,166","$2,046,292","$5,791,409","$1,447,852",70.80%
John Metchie III,WR,Texans,"$8,070,176","$2,017,544","$5,626,046","$1,406,512",69.70%
Brandon Powell,WR,Vikings,"$2,000,000","$2,000,000","$625,000","$625,000",31.30%
Chris Moore,WR,Cardinals,"$2,000,000","$2,000,000","$750,000","$750,000",37.50%
Nick Westbrook-Ikhine,WR,Titans,"$2,000,000","$2,000,000","$750,000","$750,000",37.50%
Johnny Mundt,TE,Vikings,"$2,000,000","$2,000,000","$750,000","$750,000",37.50%
Marcedes Lewis,TE,Bears,"$2,000,000","$2,000,000","$1,000,000","$1,000,000",50.00%
Jordan Akins,TE,Browns,"$3,900,000","$1,950,000","$1,730,000","$865,000",44.40%
Adonai Mitchell,WR,Colts,"$7,386,086","$1,846,522","$4,817,431","$1,204,358",65.20%
Ben Sinnott,TE,Commanders,"$7,227,950","$1,806,988","$4,597,851","$1,149,463",63.60%
Jayden Reed,WR,Packers,"$7,180,778","$1,795,195","$4,048,783","$1,012,196",56.40%
