Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
95,Justin Watson,KAN,28,WR,16,8,53,27,50.90%,460,17,3,21,50.9,41,8.7,1.7,28.8,1
96,Samaje Perine,DEN,28,RB,17,1,56,50,89.30%,455,9.1,0,23,67.9,29,8.1,2.9,26.8,3
97,Cade Otton,TAM,24,TE,17,17,67,47,70.10%,455,9.7,4,22,49.3,27,6.8,2.8,26.8,1
98,Michael Thomas,NOR,30,WR,10,7,64,39,60.90%,448,11.5,1,21,54.7,31,7,3.9,44.8,0
99,James Cook*,BUF,24,RB,17,13,54,44,81.50%,445,10.1,4,16,59.3,48,8.2,2.6,26.2,4
100,Austin Ekeler,LAC,28,RB,14,14,74,51,68.90%,436,8.5,1,20,43.2,39,5.9,3.6,31.1,5
101,Quentin Johnston,LAC,22,WR,17,10,67,38,56.70%,431,11.3,2,20,47.8,57,6.4,2.2,25.4,0
102,Robert Woods,HOU,31,WR,14,11,75,40,53.30%,426,10.7,1,26,45.3,26,5.7,2.9,30.4,0
103,Chris Moore,TEN,30,WR,17,5,35,22,62.90%,424,19.3,0,16,54.3,49,12.1,1.3,24.9,1
104,Christian Watson,GNB,24,WR,9,9,53,28,52.80%,422,15.1,5,20,50.9,77,8,3.1,46.9,0
105,Hunter Henry,NWE,29,TE,14,10,61,42,68.90%,419,10,6,29,63.9,24,6.9,3,29.9,1
106,Jonathan Mingo,CAR,22,WR,15,14,85,43,50.60%,418,9.7,0,15,32.9,40,4.9,2.9,27.9,1
107,Michael Gallup,DAL,27,WR,17,13,57,34,59.60%,418,12.3,2,19,50.9,41,7.3,2,24.6,0
108,Noah Fant,SEA,26,TE,17,17,43,32,74.40%,414,12.9,0,16,60.5,51,9.6,1.9,24.4,0
109,Darnell Mooney,CHI,26,WR,15,14,61,31,50.80%,414,13.4,1,20,41,41,6.8,2.1,27.6,0
110,Gerald Everett,LAC,29,TE,15,12,70,51,72.90%,411,8.1,3,25,50,31,5.9,3.4,27.4,3
111,Isaiah Likely,BAL,23,TE,17,8,40,30,75.00%,411,13.7,5,15,60,54,10.3,1.8,24.2,0
112,Kendrick Bourne,NWE,28,WR,8,5,55,37,67.30%,406,11,4,15,49.1,36,7.4,4.6,50.8,1
113,DeVante Parker,NWE,30,WR,13,13,55,33,60.00%,394,11.9,0,17,49.1,30,7.2,2.5,30.3,0
114,Antonio Gibson,WAS,25,RB,16,2,59,48,81.40%,389,8.1,2,19,44.1,41,6.6,3,24.3,4
115,Tyjae Spears,TEN,22,RB,17,1,70,52,74.30%,385,7.4,1,17,34.3,48,5.5,3.1,22.6,1
116,Trey Palmer,TAM,22,WR,17,8,68,39,57.40%,385,9.9,3,17,41.2,54,5.7,2.3,22.6,3
